rank,song_id,title,artist_name,genre,unique_users,total_plays,avg_plays,popularity_level
65,SOBADEB12AB018275F,Song_B018275F,Artist_SOBADEB1,Blues,19896,49898,2.5079412947326096,Hit
66,SONQCXC12A6D4F6A37,Song_6D4F6A37,Artist_SONQCXC1,Blues,19827,92015,4.640893730771171,Hit
67,SOUNJIO12AB0181339,Song_B0181339,Artist_SOUNJIO1,Blues,19630,89484,4.558532857870606,Hit
68,SOOJJCT12A6310E1C0,Song_6310E1C0,Artist_SOOJJCT1,Blues,19229,57658,2.9984918612512352,Hit
69,SOAFTRR12AF72A8D4D,Song_F72A8D4D,Artist_SOAFTRR1,Blues,19132,50062,2.6166631821032826,Hit
70,SOEBOWM12AB017F279,Song_B017F279,Artist_SOEBOWM1,Blues,18913,52731,2.7880822714534976,Hit
71,SOTEGWG12AB01897AC,Song_B01897AC,Artist_SOTEGWG1,Blues,18893,51192,2.709574974858413,Hit
72,SOWGXOP12A6701E93A,Song_6701E93A,Artist_SOWGXOP1,Blues,18882,51395,2.721904459273382,Hit
73,SOWKQYL12AB0183B15,Song_B0183B15,Artist_SOWKQYL1,Blues,18759,54883,2.9256890026120796,Hit
74,SOGSAYQ12AB018BA14,Song_B018BA14,Artist_SOGSAYQ1,Blues,18392,53776,2.923879947803393,Hit
75,SONHWUN12AC468C014,Song_C468C014,Artist_SONHWUN1,Blues,18132,43072,2.3754687844694464,Hit
76,SOFRCGW12A81C21EA6,Song_81C21EA6,Artist_SOFRCGW1,Blues,18067,53082,2.93806387336027,Hit
77,SOSROFB12AAF3B4C5D,Song_AF3B4C5D,Artist_SOSROFB1,Blues,18031,52308,2.9010038267428317,Hit
78,SOGPNGN12A8C143969,Song_8C143969,Artist_SOGPNGN1,Blues,18001,47515,2.6395755791344926,Hit
79,SOPSOHT12A67AE0235,Song_67AE0235,Artist_SOPSOHT1,Blues,17973,103743,5.772158237356034,Hit
80,SOMGVYU12A8C1314FF,Song_8C1314FF,Artist_SOMGVYU1,Blues,17801,92419,5.191786978259648,Hit
81,SOJTLHS12A8C13F633,Song_8C13F633,Artist_SOJTLHS1,Blues,17792,51021,2.8676371402877696,Hit
82,SOQGVCS12AF72A078D,Song_F72A078D,Artist_SOQGVCS1,Blues,17771,48117,2.7076135276574194,Hit
83,SOUJVIT12A8C1451C1,Song_8C1451C1,Artist_SOUJVIT1,Blues,17762,59320,3.3397139961716023,Hit
84,SOXNZOW12AB017F756,Song_B017F756,Artist_SOXNZOW1,Blues,17531,52381,2.9879071359306373,Hit
85,SOGTQNI12AB0184A5C,Song_B0184A5C,Artist_SOGTQNI1,Blues,17480,51102,2.9234553775743706,Hit
86,SOWRREB12A6D4FA7CB,Song_6D4FA7CB,Artist_SOWRREB1,Blues,17429,42308,2.427448505364622,Hit
87,SOPVQLJ12A67AE2281,Song_67AE2281,Artist_SOPVQLJ1,Blues,17354,51033,2.940705312896162,Hit
88,SODLLYS12A8C13A96B,Song_8C13A96B,Artist_SODLLYS1,Blues,17316,58667,3.388022638022638,Hit
89,SOXLOQG12AF72A2D55,Song_F72A2D55,Artist_SOXLOQG1,Blues,17198,78877,4.586405395976277,Hit
90,SOHFJAQ12AB017E4AF,Song_B017E4AF,Artist_SOHFJAQ1,Blues,17136,75445,4.402719421101774,Hit
91,SOSJRJP12A6D4F826F,Song_6D4F826F,Artist_SOSJRJP1,Blues,17086,78412,4.589254360294978,Hit
92,SOEQJBS12A8AE475A4,Song_8AE475A4,Artist_SOEQJBS1,Blues,16864,53825,3.1917101518026567,Hit
93,SOLGLUC12AB018A8FA,Song_B018A8FA,Artist_SOLGLUC1,Blues,16659,93404,5.60681913680293,Hit
94,SOBUBLL12A58A795A8,Song_58A795A8,Artist_SOBUBLL1,Blues,16658,31770,1.9071917397046465,Hit
95,SOEPZQS12A8C1436C7,Song_8C1436C7,Artist_SOEPZQS1,Blues,16616,51091,3.074807414540202,Hit
96,SOKOXWU12AF72AD1BC,Song_F72AD1BC,Artist_SOKOXWU1,Blues,16511,42416,2.568954030646236,Hit
97,SOGCWUH12AC90732B0,Song_C90732B0,Artist_SOGCWUH1,Blues,16418,49768,3.031307101961262,Hit
98,SORJICW12A8C13640D,Song_8C13640D,Artist_SORJICW1,Blues,16286,102728,6.307748986859879,Hit
99,SODCNJX12A6D4F93CB,Song_6D4F93CB,Artist_SODCNJX1,Blues,16258,75602,4.650141468815352,Hit
100,SOISNSU12AC468C0D8,Song_C468C0D8,Artist_SOISNSU1,Blues,16072,46117,2.8694001991040317,Hit
