rank,song_id,title,artist_name,genre,total_plays,unique_users,avg_plays,popularity_level
76,SOZVCRW12A67ADA0B7,Song_67ADA0B7,Artist_SOZVCRW1,Blues,63706,23736,2.6839400067408157,Hit
77,SOVWADY12AB0189C63,Song_B0189C63,Artist_SOVWADY1,Blues,62749,23735,2.6437328839266905,Hit
78,SOXQYSC12A6310E908,Song_6310E908,Artist_SOXQYSC1,Blues,61572,21354,2.8833942118572633,Hit
79,SOVWBYM12A6D4F8A22,Song_6D4F8A22,Artist_SOVWBYM1,Blues,61565,11341,5.428533639008906,Hit
80,SOIZLKI12A6D4F7B61,Song_6D4F7B61,Artist_SOIZLKI1,Blues,60719,22612,2.6852556164868213,Hit
81,SOMCMKG12A8C1347BF,Song_8C1347BF,Artist_SOMCMKG1,Blues,60505,12815,4.721420210690597,Hit
82,SOHYSXA12AB0186704,Song_B0186704,Artist_SOHYSXA1,Blues,59604,20052,2.9724715739078396,Hit
83,SOUJVIT12A8C1451C1,Song_8C1451C1,Artist_SOUJVIT1,Blues,59320,17762,3.3397139961716023,Hit
84,SODLLYS12A8C13A96B,Song_8C13A96B,Artist_SODLLYS1,Blues,58667,17316,3.388022638022638,Hit
85,SOMMONH12A6D4F41CD,Song_6D4F41CD,Artist_SOMMONH1,Blues,58183,12386,4.697481026965929,Hit
86,SOLRGNF12AB0187CF4,Song_B0187CF4,Artist_SOLRGNF1,Blues,58097,22969,2.529365666768253,Hit
87,SONHVVE12AB018D038,Song_B018D038,Artist_SONHVVE1,Blues,58092,21943,2.647404639292713,Hit
88,SOOJJCT12A6310E1C0,Song_6310E1C0,Artist_SOOJJCT1,Blues,57658,19229,2.9984918612512352,Hit
89,SOXPFLM12A8AE48C50,Song_8AE48C50,Artist_SOXPFLM1,Blues,56237,20354,2.7629458583079494,Hit
90,SOAUFOF12AB0180C65,Song_B0180C65,Artist_SOAUFOF1,Blues,56094,20574,2.726450860309128,Hit
91,SOOGNOZ12AAF3B2936,Song_AF3B2936,Artist_SOOGNOZ1,Classical,55866,9685,5.768301497160557,Hit
92,SOBABRB12A6701DF4B,Song_6701DF4B,Artist_SOBABRB1,Blues,55161,10436,5.285645841318513,Hit
93,SONOYIB12A81C1F88C,Song_81C1F88C,Artist_SONOYIB1,Blues,54994,21565,2.5501507071643865,Hit
94,SOWKQYL12AB0183B15,Song_B0183B15,Artist_SOWKQYL1,Blues,54883,18759,2.9256890026120796,Hit
95,SONDKOF12A6D4F7D70,Song_6D4F7D70,Artist_SONDKOF1,R&B,54687,4930,11.092697768762678,Hit
96,SOEQJBS12A8AE475A4,Song_8AE475A4,Artist_SOEQJBS1,Blues,53825,16864,3.1917101518026567,Hit
97,SOGSAYQ12AB018BA14,Song_B018BA14,Artist_SOGSAYQ1,Blues,53776,18392,2.923879947803393,Hit
98,SOFRCGW12A81C21EA6,Song_81C21EA6,Artist_SOFRCGW1,Blues,53082,18067,2.93806387336027,Hit
99,SOEBOWM12AB017F279,Song_B017F279,Artist_SOEBOWM1,Blues,52731,18913,2.7880822714534976,Hit
100,SOXNZOW12AB017F756,Song_B017F756,Artist_SOXNZOW1,Blues,52381,17531,2.9879071359306373,Hit
